X,Y,VDC_NAME,OCHA_VNAME,HLCIT_CODE
85.39365132,27.7371563,Gokarneshwar,Gokarneswor,524 2 05 27 5 023
85.28550942,27.75780506,Goldhunga,Goldhunga,524 2 05 27 5 035
85.31812249,27.74608357,Gongabu,Gonggabu,524 2 05 27 5 028
85.37671784,27.70421396,Gothatar,Gothatar,524 2 05 27 5 010
85.27543592,27.73705447,Ichangunarayan,IchangNarayan,524 2 05 27 5 036
85.44122015,27.734016,Indrayani,Indrayani,524 2 05 27 5 006
85.3348325,27.80070765,Jhormahangkal,JhorMahankal,524 2 05 27 5 024
85.27873593,27.77943288,Jitpur Phedi,Jitpurphedi,524 2 05 27 5 032
85.37810703,27.72571356,Jorpati,Jorpati,524 2 05 27 5 012
85.30155198,27.78996882,Kabhresthali,Kabhresthali,524 2 05 27 5 029
85.36398361,27.7405962,Kapan,Kapan,524 2 05 27 5 017
85.32713855,27.70914732,Kathmandu Metropolitan,Kathmandu M.N.P.,524 2 05 27 1 001
85.34225367,27.7573148,Khadka Bhadrakali,KhadkaBhadrakali,524 2 05 27 5 020
85.27501468,27.6669139,Kirtipur Municipality,Kirtipur N.P.,524 2 05 27 3 002
85.49147642,27.76267747,Lapsiphedi,Lapsephedi,524 2 05 27 5 002
85.24461009,27.65980895,Machchhegaun,Machhegaun,524 2 05 27 5 049
85.21966114,27.68084533,Mahadevsthan,Mahadevathan,524 2 05 27 5 046
85.35324685,27.74954511,Mahangkal,Mahankal,524 2 05 27 5 021
85.30871781,27.75022136,Manmaijn,Manmaiju,524 2 05 27 5 033
85.22902466,27.66763671,Matatirtha,Matatirtha,524 2 05 27 5 048
85.3961764,27.71135988,Mulpani,Mulpani,524 2 05 27 5 009
85.53100982,27.76618441,Nanglebhare,Naglebhare,524 2 05 27 5 001
85.26342276,27.69109237,Naikap Naya,NaikapNayaBhanjyang,524 2 05 27 5 057
85.26161665,27.69995053,Naikap Purano,NaikapPuranoBhanjyang,524 2 05 27 5 043
85.40815742,27.75602009,Nayapati,Nayapati,524 2 05 27 5 015
85.45531125,27.72923285,Pukulachhi,Pukhulachhi,524 2 05 27 5 005
85.25075035,27.71957272,Ramkot,Ramkot,524 2 05 27 5 038
85.31715505,27.7967643,Sangla,Sangla,524 2 05 27 5 030
85.28331621,27.61908695,Saukhel,Satikhel,524 2 05 27 5 053
85.24945673,27.68226459,Satungal,Satungal,524 2 05 27 5 047
85.26462834,27.70493787,Syuchatar,Seuchatar,524 2 05 27 5 041
85.261537,27.62799456,Shesh Narayan,Sheshnarayan,524 2 05 27 5 052
85.27289842,27.71517456,Sitapaila,Sitapaila,524 2 05 27 5 039
85.42734292,27.79072307,Sundarijal,Sundarijal,524 2 05 27 5 014
85.4888356,27.73081233,Sangkhu Suntol,Suntol,524 2 05 27 5 004
85.24162433,27.62528795,Talkudunde Chaur,Talkududechour,524 2 05 27 5 051
85.20800307,27.69039296,Thankot,Thankot,524 2 05 27 5 044
85.26727496,27.68502547,Tinthana,Tinthana,524 2 05 27 5 056
85.33109077,27.77596833,Tokhachandeshwari,TokhaChandeswori,524 2 05 27 5 026
85.32792592,27.76206538,Tokhasaraswati,TokhaSarswoti,524 2 05 27 5 025
85.23011907,27.95149223,Bageshwari,BagesworiChokade,524 2 05 28 5 036
85.3872743,27.90544337,Balkumari,Balkumari,524 2 05 28 5 021
85.01213757,28.01089053,Barsunchet,Barsunchet,524 2 05 28 5 050
85.15757773,27.83178056,Belkot,Belkot,524 2 05 28 5 008
85.44516254,27.90253482,Beteni,Beteni,524 2 05 28 5 022
85.31215349,27.8749669,Bhadratar,Bhadratar,524 2 05 28 5 027
85.12745626,28.04598474,Bhalche,Bhalche,524 2 05 28 5 056
85.14689116,27.90672365,Bidur Municipality,Bidur N.P.,524 2 05 28 3 001
85.03540201,27.87671778,Budhasing,Budhasing,524 2 05 28 5 044
85.09348317,27.9980517,Bungtang,Bungtang,524 2 05 28 5 051
85.11614144,27.90100502,Charghare,Charghare,524 2 05 28 5 045
85.22400639,27.8603193,Chaturale,Chaturale,524 2 05 28 5 010
85.2584158,27.8975407,Chaughoda,Chaughada,524 2 05 28 5 028
85.19810582,27.78975152,Chauthe,Chauthe,524 2 05 28 5 001
85.41211719,27.82970719,Chhap,Chhap,524 2 05 28 5 015
85.02876402,27.91196945,Dangsing,Dangsing,524 2 05 28 5 046
85.08328361,27.97533202,Deurali,Deurali,524 2 05 28 5 052
85.06820982,27.81768929,Duipipal,Duipipal,524 2 05 28 5 002
85.15285913,28.00668064,Phikuri,Fikuri,524 2 05 28 5 059
85.24888433,27.91827563,Ganeshsthan,Ganeshthan,524 2 05 28 5 037
85.44980322,27.94115532,Gaunkharka,Gaunkharka,524 2 05 28 5 023
85.19120329,27.9536747,Gerkhu,Gerkhu,524 2 05 28 5 038
85.44583942,28.01305523,Ghyangphedi,Ghyangphedi,524 2 05 28 5 030
85.06151344,27.90126689,Gorsyang,Gorsyang,524 2 05 28 5 047
85.11140433,27.8391804,Jiling,Jiling,524 2 05 28 5 011
85.28906369,27.89826584,Kabilas,Kabilas,524 2 05 28 5 029
85.25023316,27.82327338,Kakani,Kakani,524 2 05 28 5 003
85.23988182,27.93244363,Kalika Halldae,Kalikahalde,524 2 05 28 5 039
85.09784504,27.94284177,Kalyanpur,Kalyanpur,524 2 05 28 5 053
85.13108858,27.99896377,Kaule,Kaule,524 2 05 28 5 058
85.08866507,27.88334223,Khadga Bhanjyang,KhadagBhanjyang,524 2 05 28 5 048
85.31108874,27.93040846,Kharanitar,Kharanitar,524 2 05 28 5 041
85.19745272,27.91353879,Khanigaun,KholegaunKhanigaun,524 2 05 28 5 040
85.05089178,28.02532649,Kintang,Kintang,524 2 05 28 5 054
85.13332004,27.78722956,Kumari,Kumari,524 2 05 28 5 004
85.28340063,27.9635993,Lachyang,Lachyang,524 2 05 28 5 042
85.4047836,27.86440606,Likhu,Likhu,524 2 05 28 5 017
85.18668893,27.8557625,Madanpur,Madanpur,524 2 05 28 5 012
85.36530685,27.87529399,Mahakali,Mahakali,524 2 05 28 5 018
85.17030515,28.00067509,Karki Manakamana,Manakamana,524 2 05 28 5 057
85.28530815,27.93465523,Narjamandap,Narjamandap,524 2 05 28 5 043
85.24545714,27.7940027,Okharpauwa,Okharpauwa,524 2 05 28 5 005
85.31737962,27.90084438,Panchakanya,Panchkanya,524 2 05 28 5 024
85.33729464,27.94616614,Ralukadevi,Ralukadevi,524 2 05 28 5 031
85.05112971,27.84591213,Ratmate,Ratmate,524 2 05 28 5 020
85.40905599,27.93680177,Rautbesi,Rautbesi,524 2 05 28 5 025
85.09355232,28.04789897,Salme,Salme,524 2 05 28 5 060
85.0399391,27.95282489,Samari,Samari,524 2 05 28 5 055
85.34376903,27.8339579,Samudradevi Kholegaun,Samundradevi,524 2 05 28 5 016
85.3816224,27.93375902,Samudratar,Samundratar,524 2 05 28 5 032
85.38701405,27.98837102,Shikharbesi,Shikharbesi,524 2 05 28 5 033
85.37445955,27.835373,Sikre,Sikre,524 2 05 28 5 019
