hlcit,impl_ag,src_ag,vdc,action,desc,target,no_actions,no_hh,ave_cost
524 3 09 47 5 013,AWO International e. V,,Gaindakot,Distribution,Tool kits and fixings,,1,1,
524 3 09 47 5 013,AWO International e. V,,Gaindakot,Distribution,CGI Bundle,,3,0,
524 3 09 47 5 013,AWO International e. V,,Gaindakot,Distribution,Construction Materials,,3,0,
524 3 09 47 5 014,AWO International e. V,,Kotthar,Distribution,Blankets,,50,50,
524 3 09 47 5 014,AWO International e. V,,Kotthar,Distribution,Tarpaulin,,50,50,
524 3 09 47 5 014,AWO International e. V,,Kotthar,Distribution,Tool kits and fixings,,10,10,
524 3 09 47 5 014,AWO International e. V,,Kotthar,Distribution,CGI Bundle,,37,0,
524 3 09 47 5 014,AWO International e. V,,Kotthar,Distribution,Construction Materials,,37,0,
524 3 09 47 5 017,AWO International e. V,,Ratanpur,Distribution,Blankets,,30,30,
524 3 09 47 5 017,AWO International e. V,,Ratanpur,Distribution,Tarpaulin,,30,30,
524 3 09 47 5 017,AWO International e. V,,Ratanpur,Distribution,Tool kits and fixings,,6,6,
524 3 09 47 5 017,AWO International e. V,,Ratanpur,Distribution,CGI Bundle,,37,0,
524 3 09 47 5 017,AWO International e. V,,Ratanpur,Distribution,Construction Materials,,37,0,
524 3 09 47 5 018,AWO International e. V,,UpalloArkhale,Distribution,Blankets,,16,16,
524 3 09 47 5 018,AWO International e. V,,UpalloArkhale,Distribution,Tarpaulin,,16,16,
524 3 09 47 5 018,AWO International e. V,,UpalloArkhale,Distribution,Tool kits and fixings,,3,3,
524 3 09 47 5 018,AWO International e. V,,Upalloarkhale,Distribution,CGI Bundle,,9,0,
524 3 09 47 5 018,AWO International e. V,,Upalloarkhale,Distribution,Construction Materials,,9,0,
524 2 05 23 5 011,AWO International e. V,,Jethal,Distribution,Blankets,,837,837,
524 2 05 23 5 011,AWO International e. V,,Jethal,Distribution,Tarpaulin,,837,837,
524 2 05 23 5 011,AWO International e. V,,Jethal,Distribution,Household kits (excluding tarpaulins),,837,837,
524 2 05 23 5 049,AWO International e. V,,Phulpingkot,Distribution,Tarpaulin,,934,934,
524 2 05 23 5 025,AWO International e. V,,Thulo Pakhar,Distribution,Household kits (excluding tarpaulins),,967,967,
524 2 05 23 5 025,AWO International e. V,,Thulo Pakhar,Distribution,Blankets,,967,967,
524 2 05 23 5 025,AWO International e. V,,Thulo Pakhar,Distribution,Tarpaulin,,967,967,
524 2 05 23 5 026,AWO International e. V,,Thumpakhar,Distribution,Blankets,,1203,1203,
524 2 05 23 5 026,AWO International e. V,,Thumpakhar,Distribution,Tarpaulin,,1203,1203,
524 2 05 23 5 026,AWO International e. V,,Thumpakhar,Distribution,Household kits (excluding tarpaulins),,1203,1203,
524 2 05 23 5 005,AWO International e. V,,Phulpingkatti,Distribution,Household kits (excluding tarpaulins),,100,0,
524 2 05 23 5 006,AWO International e. V,,Tatopani,Distribution,Household kits (excluding tarpaulins),,100,0,
,CARE,,Dubachour,Distribution,Tarpaulin,,3572,1786,
,CARE,,,Distribution,Tarpaulin,,180,180,
524 2 05 23 5 069,CARE,,Bhotang,Distribution,Tarpaulin,,1568,784,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,CGI Bundle,Targeted group,7,7,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,CGI Bundle,Targeted group,9,9,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,CGI Bundle,Targeted group,23,23,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,CGI Bundle,Targeted group,361,,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Tool kits and fixings,Targeted group,0,0,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,131,131,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,99,99,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,189,189,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,150,150,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,118,118,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,147,147,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,215,215,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Household kits (excluding tarpaulins),All / Blanket,183,183,
524 3 07 36 5 061,CARE,,Sairpani,Distribution,Tarpaulin,Targeted group,0,0,
524 3 07 36 5 025,CARE,,Virkot,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,CGI Bundle,All / Blanket,336,0,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,Tool kits and fixings,All / Blanket,336,0,
524 3 07 36 5 066,CARE,,Ghyachok,Distribution,Tarpaulin,All / Blanket,336,0,
524 3 07 37 5 052,CARE,,Bhorletar,Distribution,Tarpaulin,,844,422,
524 3 07 37 5 047,CARE,,Ramgha,Distribution,Tarpaulin,,346,173,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,47,47,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,86,86,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,70,70,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,48,48,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,70,70,
524 3 07 36 5 044,CARE,IOM,Gumda,Distribution,Household kits (excluding tarpaulins),All / Blanket,58,58,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,108,108,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,106,106,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,324,324,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,131,131,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,61,61,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,197,197,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,179,179,
524 3 07 36 5 065,CARE,IOM,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,145,145,
524 2 05 30 5 010,CARE,,Budhathum,Distribution,Tarpaulin,,348,348,
524 2 05 30 5 010,CARE,,Budhathum,Distribution,Tarpaulin,,550,550,
524 2 05 30 5 029,CARE,,Goganpani,Distribution,Tarpaulin,,131,131,
524 2 05 30 5 029,CARE,,Goganpani,Distribution,Tarpaulin,,326,326,
524 2 05 30 5 029,CARE,,Goganpani,Distribution,Tarpaulin,,50,50,
524 3 07 36 5 010,CARE,,Bakrang,Distribution,Tarpaulin,,264,264,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,149,149,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,18,18,
524 3 07 36 5 026,CARE,,Chhoprak,Distribution,Tarpaulin,,82,82,
524 3 07 36 5 033,CARE,,Deurali,Distribution,Tarpaulin,,117,117,
524 3 07 36 5 033,CARE,,Deurali,Distribution,Tarpaulin,,90,90,
524 3 07 36 5 028,CARE,,Gangkhu,Distribution,Tarpaulin,,106,106,
524 3 07 36 5 028,CARE,,Gangkhu,Distribution,Tarpaulin,,82,82,
524 3 07 36 5 030,CARE,,Khoplang,Distribution,Tarpaulin,,100,100,
524 3 07 36 5 035,CARE,,Simjung,Distribution,Tarpaulin,,243,243,
524 3 07 37 5 017,CARE,,Bichaur,Distribution,Tarpaulin,,38,38,
524 3 07 37 5 021,CARE,,Elampokhari,Distribution,Household kits (excluding tarpaulins),,178,178,
524 3 07 37 5 021,CARE,IOM,Elampokhari,Distribution,Tarpaulin,,1072,536,
524 3 07 37 5 025,CARE,,Gauda,Distribution,Household kits (excluding tarpaulins),,362,362,
524 3 07 37 5 025,CARE,IOM,Gauda,Distribution,Tarpaulin,,610,305,
524 3 07 37 5 014,CARE,,Pachok,Distribution,Household kits (excluding tarpaulins),,469,469,
524 3 07 37 5 014,CARE,IOM,Pachok,Distribution,Tarpaulin,,518,259,
524 3 07 37 5 014,CARE,,Pachok,Distribution,Tarpaulin,,96,48,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Household kits (excluding tarpaulins),,450,450,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tarpaulin,,1004,570,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tents,,5,,
524 2 05 23 5 070,CARE,,Baruwa,Distribution,Tool kits and fixings,,225,450,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,Tarpaulin,,740,740,
524 2 05 23 5 062,CARE,,Sindhukot,Distribution,Tarpaulin,,1680,840,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle,,133,133,
524 2 05 23 5 054,CARE,,Banskharka,Distribution,CGI Bundle,,147,137,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,140,70,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,200,100,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,200,100,
524 3 07 36 5 044,CARE,,Gumda,Distribution,CGI Bundle,All / Blanket,696,,
524 3 07 36 5 047,CARE,,Laprak,Distribution,CGI Bundle,All / Blanket,1240,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Tool kits and fixings,All / Blanket,120,620,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 047,CARE,,Laprak,Distribution,Household kits (excluding tarpaulins),All / Blanket,0,0,
524 3 07 36 5 065,CARE,,Warpak,Distribution,CGI Bundle,Targeted group,300,0,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,27,135,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,23.2,116,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Tool kits and fixings,All / Blanket,24.6,123,
524 3 07 36 5 065,CARE,,Warpak,Distribution,Household kits (excluding tarpaulins),All / Blanket,135,135,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,140,70,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,120,60,
524 3 07 36 5 044,CARE,,Gumda,Distribution,Tarpaulin,All / Blanket,896,,
