"","hazard","exposure","housing","poverty","vulnerability","severity","degree"
"1298",0.044602692,0.030170598,6.218955197,5.83028083,6.024618014,0.200889929,410
"1302",0.019864202,0.037285241,6.218955197,5.83028083,6.024618014,0.164631346,31
"1306",0.037413673,0.037941346,6.218955197,5.83028083,6.024618014,0.204498847,26
"1308",0.03112348,0.01325538,6.218955197,5.83028083,6.024618014,0.135457571,197
"1310",0.012590741,0.018063402,6.218955197,5.83028083,6.024618014,0.111069153,99
"1312",0.007792752,0.022522869,6.218955197,5.83028083,6.024618014,0.101878222,26
"1314",0.005922408,0.01475212,6.218955197,5.83028083,6.024618014,0.080740995,66
"1316",0.006040249,0.01767384,6.218955197,5.83028083,6.024618014,0.086318739,26
"1329",1.009664013,0.053616115,6.852053081,6.572039072,6.712046076,0.713579528,113
"1330",0.881824375,0.019754924,6.852053081,6.572039072,6.712046076,0.488994677,26
"1332",1.576712943,0.054497756,6.45603317,3.308913309,4.88247324,0.748612445,NA
"1334",2.44879243,0.851255776,8.226716181,0.894383394,4.560549788,2.118408688,26
"1336",2.29151623,0.047290848,6.45603317,3.308913309,4.88247324,0.808810235,NA
"1360",3.377107285,0.071279703,6.45603317,3.308913309,4.88247324,1.055318464,126
"1361",2.229418538,0.073791356,6.45603317,3.308913309,4.88247324,0.929563347,NA
"1368",2.897169921,0.016699933,6.45603317,3.308913309,4.88247324,0.618172278,269
"1379",1.48995245,0.025383078,6.45603317,3.308913309,4.88247324,0.569445533,NA
"1380",3.972516576,0.034568554,6.45603317,3.308913309,4.88247324,0.875243584,126
"1381",1.486574702,0.020923612,6.45603317,3.308913309,4.88247324,0.533524567,NA
"1382",2.276162007,0.253871791,6.45603317,3.308913309,4.88247324,1.413033623,136
"1404",0.266787982,0.009995356,7.531331947,5.860805861,6.696068904,0.261373457,121
"1405",1.280962369,0.0438667983333333,6.802563791,5.03968254,5.92112316533333,0.622887764333333,99
"1409",2.760409509,0.040401742,6.45603317,3.308913309,4.88247324,0.816590815,23
"1411",2.098587124,0.029504241,6.45603317,3.308913309,4.88247324,0.671146153,NA
"1412",1.0990289115,0.030831829,5.727830373,3.634004884,4.680917629,0.4104025285,126
"1413",2.221674659,0.017181761,6.45603317,3.308913309,4.88247324,0.57121026,234
"1415",2.06383517,0.026551766,6.45603317,3.308913309,4.88247324,0.644371166,126
"1416",0.446394323666667,0.027201037,4.602271227,5.707163207,5.154717217,0.360360694,221
"1418",0.824139408,0.034783839,6.852053081,6.572039072,6.712046076,0.577312606,371
"1421",2.755782184,0.171981633,4.990112867,3.644688645,4.317400756,1.269549893,58
"1422",0.98552342225,0.091185839,6.03666999325,4.990842491,5.51375624225,0.5209003715,321
"1440",0.932070121,0.050509866,8.404832734,0.818070818,4.611451776,0.601018016,241
"1441",2.018905485,0.027361646,8.404832734,0.818070818,4.611451776,0.633916362,17
"1442",3.30217435,0.015162186,8.404832734,0.818070818,4.611451776,0.613479185,7
"1443",3.669894899,0.023568537,8.404832734,0.818070818,4.611451776,0.736107609,324
"1445",2.212443736,0.090850097,5.913504002,5.848595849,5.881049925,1.057346907,14
"1452",1.85567574,0.062637564,6.45603317,3.308913309,4.88247324,0.827927436,22
"1456",1.191913306,0.038064366,6.441465148,5.213675214,5.827570181,0.64182544,217
"1468",1.66837323,0.046091406,6.441465148,5.213675214,5.827570181,0.765244517,197
"1477",1.93176817,0.043272203,6.441465148,5.213675214,5.827570181,0.786835309,154
"1486",1.941679869,0.03659838,6.441465148,5.213675214,5.827570181,0.745376454,99
"1517",2.795104052,0.024691092,7.423148941,3.015873016,5.2195109785,0.680927358,105
"1544",3.073337937,0.090101727,6.817638797,5.152625153,5.985131975,1.183420409,360
"1548",4.175264536,0.079388756,6.817638797,5.152625153,5.985131975,1.256528204,135
"1549",2.648023761,0.102639492,6.817638797,5.152625153,5.985131975,1.176079555,447
"1550",1.861060592,0.071741027,6.817638797,5.152625153,5.985131975,0.927970018,433
"1563",1.531137809,0.050438104,6.817638797,5.152625153,5.985131975,0.773182926,103
"1570",2.073547731,0.036700897,6.817638797,5.152625153,5.985131975,0.769404665,99
"1577",1.307264101,0.046337445,8.863975701,1.816239316,5.340107508,0.686459849,407
"1579",1.680361815,0.046860279,8.226716181,0.894383394,4.560549788,0.710790519,99
"1589",0.507816921,0.019498633,6.852053081,6.572039072,6.712046076,0.405062545,179
"1598",0.676167435,0.026787554,6.852053081,6.572039072,6.712046076,0.495390203,130
"1608",0.757762454,0.030262862,6.852053081,6.572039072,6.712046076,0.535919228,351
"1640",0.598503596,0.0164949,6.852053081,6.572039072,6.712046076,0.404660173,99
"1662",0.135094426,0.014444571,7.531331947,5.860805861,6.696068904,0.235534211,112
"1680",0.196949019,0.075585395,7.531331947,5.860805861,6.696068904,0.46366453,100
"1692",0.298259329,0.022973941,7.531331947,5.860805861,6.696068904,0.358000104,137
"1697",0.38253547,0.038792233,7.531331947,5.860805861,6.696068904,0.463175381,101
"1705",0.33665542,0.025444588,7.531331947,5.860805861,6.696068904,0.3856562,99
"1710",0.38473167,0.035696235,7.531331947,5.860805861,6.696068904,0.451370761,204
"1743",0.0349081855,0.0564711985,4.9293054885,5.796703297,5.3630043925,0.1892144645,102
"1746",0.061365989,0.044676678,5.191504838,6.547619048,5.869561943,0.252467087,99
"1749",0.090468549,0.019908699,5.191504838,6.547619048,5.869561943,0.219473487,210
"1752",0.035901469,0.02028801,5.191504838,6.547619048,5.869561943,0.162300224,215
"1755",0.030176404,0.031944133,5.191504838,6.547619048,5.869561943,0.178191955,116
"1758",0.033271019,0.056250788,5.191504838,6.547619048,5.869561943,0.222296932,210
"1761",0.01813865,0.059110998,5.191504838,6.547619048,5.869561943,0.18462605,135
"1764",0.015072994,0.028140772,5.191504838,6.547619048,5.869561943,0.135533631,210
"1767",0.021453277,0.039766139,5.191504838,6.547619048,5.869561943,0.171081974,210
"1770",2.122150252,0.039233054,6.441465148,5.213675214,5.827570181,0.785787746,122
"1771",1.4275898,0.051288991,6.441465148,5.213675214,5.827570181,0.752844071,210
"1773",2.440417876,0.088902284,5.913504002,5.848595849,5.881049925,1.0846193,112
"1780",2.81714101,0.074365449,8.226716181,0.894383394,4.560549788,0.984915555,283
"1781",2.13414683,0.048726079,8.404832734,0.818070818,4.611451776,0.782722487,221
"1783",0.72620232,0.046880783,7.531331947,5.860805861,6.696068904,0.610882194,84
"1786",1.8476122275,0.052954884,6.075077404,4.851953602,5.463515503,0.642718165,242
"1787",2.537994325,0.40404817,5.191504838,6.547619048,5.869561943,1.819043817,38
"1788",0.006624152,0.036875175,4.999627576,3.959096459,4.479362018,0.103044979,186
"1794",0.356437616,0.029658015,5.97793252,3.199023199,4.58847786,0.364696352,136
"1798",0.54227648,0.017827614,5.97793252,3.199023199,4.58847786,0.353992625,323
"1802",0.361746635,0.023260987,5.97793252,3.199023199,4.58847786,0.337987337,118
"1806",0.860670489,0.045363539,5.97793252,3.199023199,4.58847786,0.563729583,276
"1810",0.804865734,0.020472539,6.441465148,5.213675214,5.827570181,0.457924861,0
"1811",0.334528179,0.005894697,6.441465148,5.213675214,5.827570181,0.225663111,293
"1814",0.202719898,0.007288921,6.441465148,5.213675214,5.827570181,0.204966262,187
"1817",1.489896828,0.083479163,6.441465148,5.213675214,5.827570181,0.898270763,233
"1820",0.888190489,0.025147291,6.441465148,5.213675214,5.827570181,0.50679028,291
"1830",0.944619522,0.037500525,6.441465148,5.213675214,5.827570181,0.591008772,111
"1836",2.966297997,0.036342089,6.441465148,5.213675214,5.827570181,0.856454037,283
"1840",NA,NA,NA,NA,NA,NA,210
"1843",2.973086727,0.061017804,6.441465148,5.213675214,5.827570181,1.018709966,210
"1847",3.06317062,0.030949723,6.441465148,5.213675214,5.827570181,0.820550198,0
"1851",1.681581834,0.046091406,6.441465148,5.213675214,5.827570181,0.767258705,99
"1856",2.014952454,0.031318782,6.441465148,5.213675214,5.827570181,0.716449736,276
"1860",3.205998051,0.064175311,6.441465148,5.213675214,5.827570181,1.062362952,215
"1865",0.820414925,0.034055972,6.817638797,5.152625153,5.985131975,0.550934777,210
